タイプ,日本語,タイ語,sense
擬態,シッカリ,,"มั่นคง, เป็นที่แน่นอน"
擬態,ジックリ,,ทำอะไรด้วยความใจเย็น รอบคอบ ระมัดระวัง
擬態,ジット,,"(สายตา) จ้องเขม็ง, อดทน, อยู่นิ่ง ๆ ไม่ขยับ"
擬態,シクシク,ฮึก ๆ,ร้องไห้สะอึกสะอื้น
擬態,ジッ,เขม็ง,"จ้องเขม็ง, อยู่นิ่งๆ, ไม่กะดุกกะดิก"
擬態,ジメジメ,,อากาศซื้น
擬態,シュッ,ฟุ่บ,ขยับไว
擬態,ジロジロ,เขม็ง,"(มอง) อย่างสำรวจ, (จ้อง) เขม็ง"
擬態,シーン,กริบ,ความเงียบ
擬態,ズキズキ,,อย่างเจ็บปวด
擬態,スタスタ,ฟุ่บ,"ฉับไว, รีบเร่ง"
擬態,ズタズタ,,แย่ลง
擬態,スッカリ,,"ทั้งหมด เช่น (ลืม)สนิท, เปลี่ยนไปเป็นอีกสภาพหนึ่ง เช่น เด็กโตขึ้นเป็นผู้ใหญ่"
擬態,スッキリ,,"รู้สึกดี ปลอดโปร่ง, เรียบร้อย ประณีต, ทั้งหมด"
擬態,スット,,"การกระทำหรือการเคลื่อนไหวเบา และรวดเร็ว, ดื่มของเย็น ๆ เข้าไปแล้วทำให้ร่างกายรู้สึกเย็นวาบ, รู้สึกโล่งใจ"
擬態,スラスラ,ปรื๊ด,"พูดราบรื่น, เขียนลื่น"
擬態,ズラッ,,(เรียง)เป็นแถว
擬態,ズルズル,ซืด,"เสียงสูดน้ำมูก, ดูดเส้นก๋วยเตี๋ยว, (ความสัมพันธ์) ยืดเยื้อ"
擬態,スヤスヤ,(หลับ) ปุ๋ย,นอนหลับสบาย อย่างเงียบ ๆ
擬態,セッセ,,"อย่างตั้งใจ, ขยันหมั่นเพียร"
擬態,ソロソロ,,"จวนเจียน, ใกล้เวลาจะ..."
擬態,ゾロゾロ,,"เคลื่นตาม(แถว, ขบวน)"
擬態,ソワソワ,,กระวนกระวาย
擬態,タップリ,,"เพียงพอ, (มี)มาก"
擬態,ダブダブ,,"(เสื้อผ้า)หลวม, (พุงเต้น)ยวบยาบ"
擬態,チラチラ,,(มอง) บ่อย ๆ
擬態,ツヤツヤ,วิ้ง,"มันวาว, เงางาม"
擬態,ツルツル,ปรื๊ด,"เรียบ, ลื่น"
擬態,ツンツン,จิ้ม ๆ,จิ้มเบา ๆ
擬態,トコトコ,เหยาะ ๆ,วิ่งเหยาะ
擬態,トボトボ,,อาการเดินอย่างหมดเรี่ยวหมดแรง
擬態,ドロドロ,,เหนอะหนะ
擬態,ドンドン,,"ค่อยๆ (พัฒนา, เก่งขึ้น)"
擬態,ドンヨリ,,สภาพมืดครึ้ม
擬態,ドン,ชิ้ง,รู้แจ้ง รับรู้ถึงบางอย่าง
擬態,ドーン,ครืน,สิ่งที่น่ากลัวปรากฏ
擬態,ニコニコ,,ใบหน้ายิ้มแย้ม
擬態,ニヤニヤ,,ยิ้มมีความสุข (เพ้อถูกหวย)
擬態,ヌルヌル,,"ลื่นเหนอะ (ตะไคร่น้ำ, น้ำมัน)"
擬態,ネバネバ,หนืด,เหนียวยืด
擬態,ノコノコ,,"ไม่รู้ไม่ชี้, ไม่ทุกข์ร้อน, เหนื่อยอ่อนล้า"
擬態,ノロノロ,,เชื่องช้า
擬態,パサパサ,,สภาพที่แห้งเนื่องจากขาดน้ำหรือน้ำมัน เช่น ผมแห้ง
擬態,バッタリ,ปุ๊บปั๊บ,เจอกะทันหัน
擬態,パッ,พรึ่บ,"กางออกพลึบ, ใช้หมดทีเดียว"
擬態,バタバタ,พรึ่บ,"อากัปกริยาการพัด(พัดคลี่), ลมพัด(ประตู), ธงสะบัด"
擬態,バラバラ,,"กระจัดกระจาย, คละกันไม่เป็นระเบียบ"
擬態,バーン,ผ่าง,ปรากฎตัว
擬態,ピカッ,แว้บ,แสงแว้บ
擬態,ピカピカ,วิ้ง,"(พื้น)เป็นเงางาม, แสงวับๆ, ระยาบระยับ"
擬態,ビクビク,,ส่วนหนึ่งของร่างกายสั่น
擬態,ビショビショ,,เปียกโชก
擬態,ピッ,บี๊บ,กดปุ่ม
擬態,ピッタリ,,"พอดี, ดูเหมาะสม, เข้ากัน"
擬態,ヒラヒラ,,ใบไม้รร่วงหล่นติดต่อกัน
擬態,ヒリヒリ,แปล๊บ,อักแสบ
擬態,プカプカ,ตุ๊บป่อง,ลอยตุบป่องๆ
擬態,ブクブク,บุ๋ง,ฟองอากาศ ปุ๊บๆๆ
擬態,フラフラ,"โงบ ๆ, โงนเงน",เดินโซซัดโซเซ
擬態,ブラブラ,,"การส่ายหาง(สัตว์), แกว่งขา"
擬態,ブルブル,หงึด ๆ,"(โทรศัพท์, ร่างกาย) สั่น"
擬態,フワフワ,ฟู ๆ,"ปุย, ล่องลอย"
擬態,ペコッ,ผงก,ผงกหน้า
擬態,ベコベコ,,ว่าเปล่า
擬態,ペコペコ,,"หิวข้าว, การก้ม-เงยศีรษะอย่างต่อเนื่อง (ขอโทษ, ขอร้อง)"
擬態,ベタベタ,หงึด,"หนืด, เกาะติดแน่น"
擬態,ペチャクチャ,จ่อกแจ่ก,คุยจอแจ้
擬態,ヘトヘト,,เหนื่อยล้า
