word,kana,yomi,conj,base,nai,nakatta,masu,te,ta,con,imp,vol,pot
繰り出す,くりだす,kuridasu,五段-サ行,繰り出す,繰り出さない,繰り出さなかった,繰り出します,繰り出して,繰り出した,繰り出せば,繰り出せ,繰り出そう,繰り出せる
刳り抜く,くりぬく,kurinuku,五段-カ行,刳り抜く,刳り抜かない,刳り抜かなかった,刳り抜きます,刳り抜いて,刳り抜いた,刳り抜けば,刳り抜け,刳り抜こう,刳り抜ける
繰り広げる,くりひろげる,kurihirogeru,下一段-ガ行,繰り広げる,繰り広げない,繰り広げなかった,繰り広げます,繰り広げて,繰り広げた,繰り広げれば,繰り広げろ,繰り広げよう,繰り広げられる
くる,くる,kuru,カ行変格,くる,こない,こなかった,きます,きて,きた,くれば,こい,こよう,こられる
来る,くる,kuru,カ行変格,来る,来ない,来なかった,来ます,来て,来た,来れば,来い,来よう,来られる
狂う,くるう,kuruu,五段-ワア行,狂う,狂わない,狂わなかった,狂います,狂って,狂った,狂えば,狂え,狂おう,狂える
苦しむ,くるしむ,kurushimu,五段-マ行,苦しむ,苦しまない,苦しまなかった,苦しみます,苦しんで,苦しんだ,苦しめば,苦しめ,苦しもう,苦しめる
苦しめる,くるしめる,kurushimeru,下一段-マ行,苦しめる,苦しめない,苦しめなかった,苦しめます,苦しめて,苦しめた,苦しめれば,苦しめろ,苦しめよう,苦しめられる
包まる,くるまる,kurumaru,五段-ラ行,包まる,包まらない,包まらなかった,包まります,包まって,包まった,包まれば,包まれ,包まろう,包まれる
呉れる,くれる,kureru,下一段-ラ行,呉れる,呉れない,呉れなかった,呉れます,呉れて,呉れた,呉れれば,呉れろ,呉れよう,呉れられる
暮れる,くれる,kureru,下一段-ラ行,暮れる,暮れない,暮れなかった,暮れます,暮れて,暮れた,暮れれば,暮れろ,暮れよう,暮れられる
黒ずむ,くろずむ,kurozumu,五段-マ行,黒ずむ,黒ずまない,黒ずまなかった,黒ずみます,黒ずんで,黒ずんだ,黒ずめば,黒ずめ,黒ずもう,黒ずめる
加える,くわえる,kuwaeru,下一段-ア行,加える,加えない,加えなかった,加えます,加えて,加えた,加えれば,加えろ,加えよう,加えられる
銜える,くわえる,kuwaeru,下一段-ア行,銜える,銜えない,銜えなかった,銜えます,銜えて,銜えた,銜えれば,銜えろ,銜えよう,銜えられる
企てる,くわだてる,kuwadateru,下一段-タ行,企てる,企てない,企てなかった,企てます,企てて,企てた,企てれば,企てろ,企てよう,企てられる
加わる,くわわる,kuwawaru,五段-ラ行,加わる,加わらない,加わらなかった,加わります,加わって,加わった,加われば,加われ,加わろう,加われる
ぐずつく,ぐずつく,guzutsuku,五段-カ行,ぐずつく,ぐずつかない,ぐずつかなかった,ぐずつきます,ぐずついて,ぐずついた,ぐずつけば,ぐずつけ,ぐずつこう,
消し去る,けしさる,keshisaru,五段-ラ行,消し去る,消し去らない,消し去らなかった,消し去ります,消し去って,消し去った,消し去れば,消し去れ,消し去ろう,消し去れる
消し止める,けしとめる,keshitomeru,下一段-マ行,消し止める,消し止めない,消し止めなかった,消し止めます,消し止めて,消し止めた,消し止めれば,消し止めろ,消し止めよう,消し止められる
消す,けす,kesu,五段-サ行,消す,消さない,消さなかった,消します,消して,消した,消せば,消せ,消そう,消せる
削り取る,けずりとる,kezuritoru,五段-ラ行,削り取る,削り取らない,削り取らなかった,削り取ります,削り取って,削り取った,削り取れば,削り取れ,削り取ろう,削り取れる
