word,kana,yomi,conj,base,nai,nakatta,masu,te,ta,con,imp,vol,pot
愛する,あいする,aisuru,サ行変格,愛する,愛しない,愛しなかった,愛します,愛して,愛した,愛すれば,愛しろ,愛しよう,愛せる
会う,あう,au,五段-ワア行,会う,会わない,会わなかった,会います,会って,会った,会えば,会え,会おう,会える
合う,あう,au,五段-ワア行,合う,合わない,合わなかった,合います,合って,合った,合えば,合え,合おう,合える
仰ぎ見る,あおぎみる,aogimiru,上一段-マ行,仰ぎ見る,仰ぎ見ない,仰ぎ見なかった,仰ぎ見ます,仰ぎ見て,仰ぎ見た,仰ぎ見れば,仰ぎ見ろ,仰ぎ見よう,仰ぎ見られる
仰ぐ,あおぐ,aogu,五段-ガ行,仰ぐ,仰がない,仰がなかった,仰ぎます,仰いで,仰いだ,仰げば,仰げ,仰ごう,仰げる
煽る,あおる,aoru,五段-ラ行,煽る,煽らない,煽らなかった,煽ります,煽って,煽った,煽れば,煽れ,煽ろう,煽れる
明かす,あかす,akasu,五段-サ行,明かす,明かさない,明かさなかった,明かします,明かして,明かした,明かせば,明かせ,明かそう,明かせる
赤らめる,あからめる,akarameru,下一段-マ行,赤らめる,赤らめない,赤らめなかった,赤らめます,赤らめて,赤らめた,赤らめれば,赤らめろ,赤らめよう,赤らめられる
足掻く,あがく,agaku,五段-カ行,足掻く,足掻かない,足掻かなかった,足掻きます,足掻いて,足掻いた,足掻けば,足掻け,足掻こう,足掻ける
崇める,あがめる,agameru,下一段-マ行,崇める,崇めない,崇めなかった,崇めます,崇めて,崇めた,崇めれば,崇めろ,崇めよう,崇められる
上がり込む,あがりこむ,agarikomu,五段-マ行,上がり込む,上がり込まない,上がり込まなかった,上がり込みます,上がり込んで,上がり込んだ,上がり込めば,上がり込め,上がり込もう,上がり込める
上がる,あがる,agaru,五段-ラ行,上がる,上がらない,上がらなかった,上がります,上がって,上がった,上がれば,上がれ,上がろう,
諦める,あきらめる,akirameru,下一段-マ行,諦める,諦めない,諦めなかった,諦めます,諦めて,諦めた,諦めれば,諦めろ,諦めよう,諦められる
呆れる,あきれる,akireru,下一段-ラ行,呆れる,呆れない,呆れなかった,呆れます,呆れて,呆れた,呆れれば,呆れろ,呆れよう,呆れられる
明く,あく,aku,五段-カ行,明く,明かない,明かなかった,明きます,明いて,明いた,明けば,明け,明こう,明ける
空く,あく,aku,五段-カ行,空く,空かない,空かなかった,空きます,空いて,空いた,空けば,空け,空こう,空ける
明け暮れる,あけくれる,akekureru,下一段-ラ行,明け暮れる,明け暮れない,明け暮れなかった,明け暮れます,明け暮れて,明け暮れた,明け暮れれば,明け暮れろ,明け暮れよう,明け暮れられる
明ける,あける,akeru,下一段-カ行,明ける,明けない,明けなかった,明けます,明けて,明けた,明ければ,明けろ,明けよう,明けられる
空ける,あける,akeru,下一段-カ行,空ける,空けない,空けなかった,空けます,空けて,空けた,空ければ,空けろ,空けよう,空けられる
開ける,あける,akeru,下一段-カ行,開ける,開けない,開けなかった,開けます,開けて,開けた,開ければ,開けろ,開けよう,開けられる
明け渡す,あけわたす,akewatasu,五段-サ行,明け渡す,明け渡さない,明け渡さなかった,明け渡します,明け渡して,明け渡した,明け渡せば,明け渡せ,明け渡そう,明け渡せる
上げる,あげる,ageru,下一段-ガ行,上げる,上げない,上げなかった,上げます,上げて,上げた,上げれば,上げろ,上げよう,上げられる
憧れる,あこがれる,akogareru,下一段-ラ行,憧れる,憧れない,憧れなかった,憧れます,憧れて,憧れた,憧れれば,憧れろ,憧れよう,憧れられる
嘲笑う,あざけわらう,azakewarau,五段-ワア行,嘲笑う,嘲笑わない,嘲笑わなかった,嘲笑います,嘲笑って,嘲笑った,嘲笑えば,嘲笑え,嘲笑おう,嘲笑える
欺く,あざむく,azamuku,五段-カ行,欺く,欺かない,欺かなかった,欺きます,欺いて,欺いた,欺けば,欺け,欺こう,欺ける
あしらう,あしらう,ashirau,五段-ワア行,あしらう,あしらわない,あしらわなかった,あしらいます,あしらって,あしらった,あしらえば,あしらえ,あしらおう,あしらえる
味わう,あじわう,ajiwau,五段-ワア行,味わう,味わわない,味わわなかった,味わいます,味わって,味わった,味わえば,味わえ,味わおう,味わえる
与る,あずかる,azukaru,五段-ラ行,与る,与らない,与らなかった,与ります,与って,与った,与れば,与れ,与ろう,与れる
預かる,あずかる,azukaru,五段-ラ行,預かる,預からない,預からなかった,預かります,預かって,預かった,預かれば,預かれ,預かろう,預かれる
預ける,あずける,azukeru,下一段-カ行,預ける,預けない,預けなかった,預けます,預けて,預けた,預ければ,預けろ,預けよう,預けられる
焦る,あせる,aseru,五段-ラ行,焦る,焦らない,焦らなかった,焦ります,焦って,焦った,焦れば,焦れ,焦ろう,焦れる
遊び回る,あそびまわる,asobimawaru,五段-ラ行,遊び回る,遊び回らない,遊び回らなかった,遊び回ります,遊び回って,遊び回った,遊び回れば,遊び回れ,遊び回ろう,遊び回れる
遊ぶ,あそぶ,asobu,五段-バ行,遊ぶ,遊ばない,遊ばなかった,遊びます,遊んで,遊んだ,遊べば,遊べ,遊ぼう,遊べる
与える,あたえる,ataeru,下一段-ア行,与える,与えない,与えなかった,与えます,与えて,与えた,与えれば,与えろ,与えよう,与えられる
温まる,あたたまる,atatamaru,五段-ラ行,温まる,温まらない,温まらなかった,温まります,温まって,温まった,温まれば,温まれ,温まろう,温まれる
温め合う,あたためあう,atatameau,五段-ワア行,温め合う,温め合わない,温め合わなかった,温め合います,温め合って,温め合った,温め合えば,温め合え,温め合おう,温め合える
温める,あたためる,atatameru,下一段-マ行,温める,温めない,温めなかった,温めます,温めて,温めた,温めれば,温めろ,温めよう,温められる
当たる,あたる,ataru,五段-ラ行,当たる,当たらない,当たらなかった,当たります,当たって,当たった,当たれば,当たれ,当たろう,当たれる
扱う,あつかう,atsukau,五段-ワア行,扱う,扱わない,扱わなかった,扱います,扱って,扱った,扱えば,扱え,扱おう,扱える
集まる,あつまる,atsumaru,五段-ラ行,集まる,集まらない,集まらなかった,集まります,集まって,集まった,集まれば,集まれ,集まろう,集まれる
集める,あつめる,atsumeru,下一段-マ行,集める,集めない,集めなかった,集めます,集めて,集めた,集めれば,集めろ,集めよう,集められる
当て込む,あてこむ,atekomu,五段-マ行,当て込む,当て込まない,当て込まなかった,当て込みます,当て込んで,当て込んだ,当て込めば,当て込め,当て込もう,当て込める
当て嵌まる,あてはまる,atehamaru,五段-ラ行,当て嵌まる,当て嵌まらない,当て嵌まらなかった,当て嵌まります,当て嵌まって,当て嵌まった,当て嵌まれば,当て嵌まれ,当て嵌まろう,当て嵌まれる
当て嵌める,あてはめる,atehameru,下一段-マ行,当て嵌める,当て嵌めない,当て嵌めなかった,当て嵌めます,当て嵌めて,当て嵌めた,当て嵌めれば,当て嵌めろ,当て嵌めよう,当て嵌められる
当てる,あてる,ateru,下一段-タ行,当てる,当てない,当てなかった,当てます,当てて,当てた,当てれば,当てろ,当てよう,当てられる
侮る,あなどる,anadoru,五段-ラ行,侮る,侮らない,侮らなかった,侮ります,侮って,侮った,侮れば,侮れ,侮ろう,侮れる
暴く,あばく,abaku,五段-カ行,暴く,暴かない,暴かなかった,暴きます,暴いて,暴いた,暴けば,暴け,暴こう,暴ける
暴れ回る,あばれまわる,abaremawaru,五段-ラ行,暴れ回る,暴れ回らない,暴れ回らなかった,暴れ回ります,暴れ回って,暴れ回った,暴れ回れば,暴れ回れ,暴れ回ろう,暴れ回れる
暴れる,あばれる,abareru,下一段-ラ行,暴れる,暴れない,暴れなかった,暴れます,暴れて,暴れた,暴れれば,暴れろ,暴れよう,暴れられる
浴びせる,あびせる,abiseru,下一段-サ行,浴びせる,浴びせない,浴びせなかった,浴びせます,浴びせて,浴びせた,浴びせれば,浴びせろ,浴びせよう,浴びせられる
浴びる,あびる,abiru,上一段-バ行,浴びる,浴びない,浴びなかった,浴びます,浴びて,浴びた,浴びれば,浴びろ,浴びよう,浴びられる
溢れ出す,あふれだす,afuredasu,五段-サ行,溢れ出す,溢れ出さない,溢れ出さなかった,溢れ出します,溢れ出して,溢れ出した,溢れ出せば,溢れ出せ,溢れ出そう,溢れ出せる
溢れ出る,あふれでる,afurederu,下一段-ダ行,溢れ出る,溢れ出ない,溢れ出なかった,溢れ出ます,溢れ出て,溢れ出た,溢れ出れば,溢れ出ろ,溢れ出よう,溢れ出られる
溢れる,あふれる,afureru,下一段-ラ行,溢れる,溢れない,溢れなかった,溢れます,溢れて,溢れた,溢れれば,溢れろ,溢れよう,溢れられる
炙り出す,あぶりだす,aburidasu,五段-サ行,炙り出す,炙り出さない,炙り出さなかった,炙り出します,炙り出して,炙り出した,炙り出せば,炙り出せ,炙り出そう,炙り出せる
炙る,あぶる,aburu,五段-ラ行,炙る,炙らない,炙らなかった,炙ります,炙って,炙った,炙れば,炙れ,炙ろう,炙れる
甘える,あまえる,amaeru,下一段-ア行,甘える,甘えない,甘えなかった,甘えます,甘えて,甘えた,甘えれば,甘えろ,甘えよう,甘えられる
余る,あまる,amaru,五段-ラ行,余る,余らない,余らなかった,余ります,余って,余った,余れば,余れ,余ろう,余れる
編み上げる,あみあげる,amiageru,下一段-ガ行,編み上げる,編み上げない,編み上げなかった,編み上げます,編み上げて,編み上げた,編み上げれば,編み上げろ,編み上げよう,編み上げられる
編む,あむ,amu,五段-マ行,編む,編まない,編まなかった,編みます,編んで,編んだ,編めば,編め,編もう,編める
あやかる,あやかる,ayakaru,五段-ラ行,あやかる,あやからない,あやからなかった,あやかります,あやかって,あやかった,あやかれば,あやかれ,あやかろう,あやかれる
あやす,あやす,ayasu,五段-サ行,あやす,あやさない,あやさなかった,あやします,あやして,あやした,あやせば,あやせ,あやそう,あやせる
操る,あやつる,ayatsuru,五段-ラ行,操る,操らない,操らなかった,操ります,操って,操った,操れば,操れ,操ろう,操れる
危ぶむ,あやぶむ,ayabumu,五段-マ行,危ぶむ,危ぶまない,危ぶまなかった,危ぶみます,危ぶんで,危ぶんだ,危ぶめば,危ぶめ,危ぶもう,危ぶめる
誤る,あやまる,ayamaru,五段-ラ行,誤る,誤らない,誤らなかった,誤ります,誤って,誤った,誤れば,誤れ,誤ろう,誤れる
謝る,あやまる,ayamaru,五段-ラ行,謝る,謝らない,謝らなかった,謝ります,謝って,謝った,謝れば,謝れ,謝ろう,謝れる
歩み寄る,あゆみよる,ayumiyoru,五段-ラ行,歩み寄る,歩み寄らない,歩み寄らなかった,歩み寄ります,歩み寄って,歩み寄った,歩み寄れば,歩み寄れ,歩み寄ろう,歩み寄れる
歩む,あゆむ,ayumu,五段-マ行,歩む,歩まない,歩まなかった,歩みます,歩んで,歩んだ,歩めば,歩め,歩もう,歩める
洗い落とす,あらいおとす,araiotosu,五段-サ行,洗い落とす,洗い落とさない,洗い落とさなかった,洗い落とします,洗い落として,洗い落とした,洗い落とせば,洗い落とせ,洗い落とそう,洗い落とせる
洗い出す,あらいだす,araidasu,五段-サ行,洗い出す,洗い出さない,洗い出さなかった,洗い出します,洗い出して,洗い出した,洗い出せば,洗い出せ,洗い出そう,洗い出せる
洗い流す,あらいながす,arainagasu,五段-サ行,洗い流す,洗い流さない,洗い流さなかった,洗い流します,洗い流して,洗い流した,洗い流せば,洗い流せ,洗い流そう,洗い流せる
洗う,あらう,arau,五段-ワア行,洗う,洗わない,洗わなかった,洗います,洗って,洗った,洗えば,洗え,洗おう,洗える
荒らす,あらす,arasu,五段-サ行,荒らす,荒らさない,荒らさなかった,荒らします,荒らして,荒らした,荒らせば,荒らせ,荒らそう,荒らせる
争う,あらそう,arasoo,五段-ワア行,争う,争わない,争わなかった,争います,争って,争った,争えば,争え,争おう,争える
改める,あらためる,aratameru,下一段-マ行,改める,改めない,改めなかった,改めます,改めて,改めた,改めれば,改めろ,改めよう,改められる
表わす,あらわす,arawasu,五段-サ行,表わす,表わさない,表わさなかった,表わします,表わして,表わした,表わせば,表わせ,表わそう,表わせる
現われる,あらわれる,arawareru,下一段-ラ行,現われる,現われない,現われなかった,現われます,現われて,現われた,現われれば,現われろ,現われよう,現われられる
有り付ける,ありつける,aritsukeru,下一段-カ行,有り付ける,有り付けない,有り付けなかった,有り付けます,有り付けて,有り付けた,有り付ければ,有り付けろ,有り付けよう,有り付けられる
ある,ある,aru,五段-ラ行,ある,ない,なかった,あります,あって,あった,あれば,あれ,あろう,ありえる
有る,ある,aru,五段-ラ行,有る,ない,なかった,有ります,有って,有った,有れば,有れ,有ろう,有りえる
在る,ある,aru,五段-ラ行,在る,ない,なかった,在ります,在って,在った,在れば,在れ,在ろう,在りえる
歩き疲れる,あるきつかれる,arukitsukareru,下一段-ラ行,歩き疲れる,歩き疲れない,歩き疲れなかった,歩き疲れます,歩き疲れて,歩き疲れた,歩き疲れれば,歩き疲れろ,歩き疲れよう,歩き疲れられる
歩き回る,あるきまわる,arukimawaru,五段-ラ行,歩き回る,歩き回らない,歩き回らなかった,歩き回ります,歩き回って,歩き回った,歩き回れば,歩き回れ,歩き回ろう,歩き回れる
歩く,あるく,aruku,五段-カ行,歩く,歩かない,歩かなかった,歩きます,歩いて,歩いた,歩けば,歩け,歩こう,歩ける
荒れる,あれる,areru,下一段-ラ行,荒れる,荒れない,荒れなかった,荒れます,荒れて,荒れた,荒れれば,荒れろ,荒れよう,荒れられる
合わさる,あわさる,awasaru,五段-ラ行,合わさる,合わさらない,合わさらなかった,合わさります,合わさって,合わさった,合わされば,合わされ,合わさろう,合わされる
合わす,あわす,awasu,五段-サ行,合わす,合わさない,合わさなかった,合わします,合わして,合わした,合わせば,合わせ,合わそう,合わせる
合わせ持つ,あわせもつ,awasemotsu,五段-タ行,合わせ持つ,合わせ持たない,合わせ持たなかった,合わせ持ちます,合わせ持って,合わせ持った,合わせ持てば,合わせ持て,合わせ持とう,合わせ持てる
合わせる,あわせる,awaseru,下一段-サ行,合わせる,合わせない,合わせなかった,合わせます,合わせて,合わせた,合わせれば,合わせろ,合わせよう,合わせられる
慌てる,あわてる,awateru,下一段-タ行,慌てる,慌てない,慌てなかった,慌てます,慌てて,慌てた,慌てれば,慌てろ,慌てよう,慌てられる
案じる,あんじる,anjiru,上一段-ザ行,案じる,案じない,案じなかった,案じます,案じて,案じた,案じれば,案じろ,案じよう,案じられる
居合わせる,いあわせる,iawaseru,下一段-サ行,居合わせる,居合わせない,居合わせなかった,居合わせます,居合わせて,居合わせた,居合わせれば,居合わせろ,居合わせよう,居合わせられる
言い合う,いいあう,iiau,五段-ワア行,言い合う,言い合わない,言い合わなかった,言い合います,言い合って,言い合った,言い合えば,言い合え,言い合おう,言い合える
言い表わす,いいあらわす,iiarawasu,五段-サ行,言い表わす,言い表わさない,言い表わさなかった,言い表わします,言い表わして,言い表わした,言い表わせば,言い表わせ,言い表わそう,言い表わせる
言い返す,いいかえす,iikaesu,五段-サ行,言い返す,言い返さない,言い返さなかった,言い返します,言い返して,言い返した,言い返せば,言い返せ,言い返そう,言い返せる
言い替える,いいかえる,iikaeru,下一段-ア行,言い替える,言い替えない,言い替えなかった,言い替えます,言い替えて,言い替えた,言い替えれば,言い替えろ,言い替えよう,言い替えられる
言い聞かせる,いいきかせる,iikikaseru,下一段-サ行,言い聞かせる,言い聞かせない,言い聞かせなかった,言い聞かせます,言い聞かせて,言い聞かせた,言い聞かせれば,言い聞かせろ,言い聞かせよう,言い聞かせられる
言い切る,いいきる,iikiru,下一段-ラ行,言い切る,言い切ない,言い切なかった,言い切ます,言い切て,言い切た,言い切れば,言い切ろ,言い切よう,言い切られる
言い伝える,いいつたえる,iitsutaeru,下一段-ア行,言い伝える,言い伝えない,言い伝えなかった,言い伝えます,言い伝えて,言い伝えた,言い伝えれば,言い伝えろ,言い伝えよう,言い伝えられる
言い渡す,いいわたす,iiwatasu,五段-サ行,言い渡す,言い渡さない,言い渡さなかった,言い渡します,言い渡して,言い渡した,言い渡せば,言い渡せ,言い渡そう,言い渡せる
癒える,いえる,ieru,下一段-ア行,癒える,癒えない,癒えなかった,癒えます,癒えて,癒えた,癒えれば,癒えろ,癒えよう,癒えられる
生かす,いかす,ikasu,五段-サ行,生かす,生かさない,生かさなかった,生かします,生かして,生かした,生かせば,生かせ,生かそう,生かせる
勢い付く,いきおいずく,ikioizuku,五段-カ行,勢い付く,勢い付かない,勢い付かなかった,勢い付きます,勢い付いて,勢い付いた,勢い付けば,勢い付け,勢い付こう,勢い付ける
行き交う,いきかう,ikikau,五段-ワア行,行き交う,行き交わない,行き交わなかった,行き交います,行き交って,行き交った,行き交えば,行き交え,行き交おう,行き交える
息衝く,いきずく,ikizuku,五段-カ行,息衝く,息衝かない,息衝かなかった,息衝きます,息衝いて,息衝いた,息衝けば,息衝け,息衝こう,息衝ける
行き詰まる,いきずまる,ikizumaru,五段-ラ行,行き詰まる,行き詰まらない,行き詰まらなかった,行き詰まります,行き詰まって,行き詰まった,行き詰まれば,行き詰まれ,行き詰まろう,行き詰まれる
行き届く,いきとどく,ikitodoku,五段-カ行,行き届く,行き届かない,行き届かなかった,行き届きます,行き届いて,行き届いた,行き届けば,行き届け,行き届こう,行き届ける
生き残る,いきのこる,ikinokoru,五段-ラ行,生き残る,生き残らない,生き残らなかった,生き残ります,生き残って,生き残った,生き残れば,生き残れ,生き残ろう,生き残れる
生き延びる,いきのびる,ikinobiru,上一段-バ行,生き延びる,生き延びない,生き延びなかった,生き延びます,生き延びて,生き延びた,生き延びれば,生き延びろ,生き延びよう,生き延びられる
生きる,いきる,ikiru,上一段-カ行,生きる,生きない,生きなかった,生きます,生きて,生きた,生きれば,生きろ,生きよう,生きられる
いく,いく,iku,五段-カ行,いく,いかない,いかなかった,いきます,いって,いった,いけば,いけ,いこう,いける
行く,いく,iku,五段-カ行,行く,行かない,行かなかった,行きます,行って,行った,行けば,行け,行こう,行ける
逝く,いく,iku,五段-カ行,逝く,逝かない,逝かなかった,逝きます,逝いて,逝いた,逝けば,逝け,逝こう,逝ける
生ける,いける,ikeru,下一段-カ行,生ける,生けない,生けなかった,生けます,生けて,生けた,生ければ,生けろ,生けよう,生けられる
苛める,いじめる,ijimeru,下一段-マ行,苛める,苛めない,苛めなかった,苛めます,苛めて,苛めた,苛めれば,苛めろ,苛めよう,苛められる
弄る,いじる,ijiru,五段-ラ行,弄る,弄らない,弄らなかった,弄ります,弄って,弄った,弄れば,弄れ,弄ろう,弄れる
急ぐ,いそぐ,isogu,五段-ガ行,急ぐ,急がない,急がなかった,急ぎます,急いで,急いだ,急げば,急げ,急ごう,急げる
致す,いたす,itasu,五段-サ行,致す,致さない,致さなかった,致します,致して,致した,致せば,致せ,致そう,致せる
居た堪れる,いたたまれる,itatamareru,下一段-ラ行,居た堪れる,居た堪れない,居た堪れなかった,居た堪れます,居た堪れて,居た堪れた,居た堪れれば,居た堪れろ,居た堪れよう,居た堪れられる
頂く,いただく,itadaku,五段-カ行,頂く,頂かない,頂かなかった,頂きます,頂いて,頂いた,頂けば,頂け,頂こう,頂ける
悼む,いたむ,itamu,五段-マ行,悼む,悼まない,悼まなかった,悼みます,悼んで,悼んだ,悼めば,悼め,悼もう,悼める
痛む,いたむ,itamu,五段-マ行,痛む,痛まない,痛まなかった,痛みます,痛んで,痛んだ,痛めば,痛め,痛もう,痛める
痛める,いためる,itameru,下一段-マ行,痛める,痛めない,痛めなかった,痛めます,痛めて,痛めた,痛めれば,痛めろ,痛めよう,痛められる
至る,いたる,itaru,五段-ラ行,至る,至らない,至らなかった,至ります,至って,至った,至れば,至れ,至ろう,至れる
労わる,いたわる,itawaru,五段-ラ行,労わる,労わらない,労わらなかった,労わります,労わって,労わった,労われば,労われ,労わろう,労われる
射出す,いだす,idasu,五段-サ行,射出す,射出さない,射出さなかった,射出します,射出して,射出した,射出せば,射出せ,射出そう,射出せる
逸する,いっする,issuru,サ行変格,逸する,逸しない,逸しなかった,逸します,逸して,逸した,逸すれば,逸しろ,逸しよう,逸せる
偽る,いつわる,itsuwaru,五段-ラ行,偽る,偽らない,偽らなかった,偽ります,偽って,偽った,偽れば,偽れ,偽ろう,偽れる
出でる,いでる,ideru,下一段-ダ行,出でる,出でない,出でなかった,出でます,出でて,出でた,出でれば,出でろ,出でよう,出でられる
営む,いとなむ,itonamu,五段-マ行,営む,営まない,営まなかった,営みます,営んで,営んだ,営めば,営め,営もう,営める
挑む,いどむ,idomu,五段-マ行,挑む,挑まない,挑まなかった,挑みます,挑んで,挑んだ,挑めば,挑め,挑もう,挑める
射貫く,いぬく,inuku,五段-カ行,射貫く,射貫かない,射貫かなかった,射貫きます,射貫いて,射貫いた,射貫けば,射貫け,射貫こう,射貫ける
祈る,いのる,inoru,五段-ラ行,祈る,祈らない,祈らなかった,祈ります,祈って,祈った,祈れば,祈れ,祈ろう,祈れる
威張る,いばる,ibaru,五段-ラ行,威張る,威張らない,威張らなかった,威張ります,威張って,威張った,威張れば,威張れ,威張ろう,威張れる
燻す,いぶす,ibusu,五段-サ行,燻す,燻さない,燻さなかった,燻します,燻して,燻した,燻せば,燻せ,燻そう,燻せる
戒める,いましめる,imashimeru,下一段-マ行,戒める,戒めない,戒めなかった,戒めます,戒めて,戒めた,戒めれば,戒めろ,戒めよう,戒められる
忌む,いむ,imu,五段-マ行,忌む,忌まない,忌まなかった,忌みます,忌んで,忌んだ,忌めば,忌め,忌もう,忌める
癒す,いやす,iyasu,五段-サ行,癒す,癒さない,癒さなかった,癒します,癒して,癒した,癒せば,癒せ,癒そう,癒せる
いらっしゃる,いらっしゃる,irassharu,五段-ラ行,いらっしゃる,いらっしゃらない,いらっしゃらなかった,いらっしゃいます,いらっしゃって,いらっしゃった,いらっしゃれば,いらっしゃれ,いらっしゃろう,
苛つく,いらつく,iratsuku,五段-カ行,苛つく,苛つかない,苛つかなかった,苛つきます,苛ついて,苛ついた,苛つけば,苛つけ,苛つこう,苛つける
入り組む,いりくむ,irikumu,五段-マ行,入り組む,入り組まない,入り組まなかった,入り組みます,入り組んで,入り組んだ,入り組めば,入り組め,入り組もう,入り組める
入り交じる,いりまじる,irimajiru,五段-ラ行,入り交じる,入り交じらない,入り交じらなかった,入り交じります,入り交じって,入り交じった,入り交じれば,入り交じれ,入り交じろう,入り交じれる
入り乱れる,いりみだれる,irimidareru,下一段-ラ行,入り乱れる,入り乱れない,入り乱れなかった,入り乱れます,入り乱れて,入り乱れた,入り乱れれば,入り乱れろ,入り乱れよう,入り乱れられる
いる,いる,iru,上一段-ア行,いる,いない,いなかった,います,いて,いた,いれば,いろ,いよう,いられる
射る,いる,iru,上一段-ア行,射る,射ない,射なかった,射ます,射て,射た,射れば,射ろ,射よう,射られる
居る,いる,iru,上一段-ア行,いる,いない,いなかった,います,いて,いた,いれば,いろ,いよう,いられる
要る,いる,iru,五段-ラ行,要る,要らない,要らなかった,要ります,要って,要った,要れば,要れ,要ろう,
入れ替える,いれかえる,irekaeru,下一段-ア行,入れ替える,入れ替えない,入れ替えなかった,入れ替えます,入れ替えて,入れ替えた,入れ替えれば,入れ替えろ,入れ替えよう,入れ替えられる
入れ替わる,いれかわる,irekawaru,五段-ラ行,入れ替わる,入れ替わらない,入れ替わらなかった,入れ替わります,入れ替わって,入れ替わった,入れ替われば,入れ替われ,入れ替わろう,入れ替われる
入れ直す,いれなおす,irenaosu,五段-サ行,入れ直す,入れ直さない,入れ直さなかった,入れ直します,入れ直して,入れ直した,入れ直せば,入れ直せ,入れ直そう,入れ直せる
入れる,いれる,ireru,下一段-ラ行,入れる,入れない,入れなかった,入れます,入れて,入れた,入れれば,入れろ,入れよう,入れられる
色褪せる,いろあせる,iroaseru,下一段-サ行,色褪せる,色褪せない,色褪せなかった,色褪せます,色褪せて,色褪せた,色褪せれば,色褪せろ,色褪せよう,色褪せられる
色付く,いろずく,irozuku,五段-カ行,色付く,色付かない,色付かなかった,色付きます,色付いて,色付いた,色付けば,色付け,色付こう,色付ける
彩る,いろどる,irodoru,五段-ラ行,彩る,彩らない,彩らなかった,彩ります,彩って,彩った,彩れば,彩れ,彩ろう,彩れる
祝う,いわう,iwau,五段-ワア行,祝う,祝わない,祝わなかった,祝います,祝って,祝った,祝えば,祝え,祝おう,祝える
言う,う,yuu,五段-ワア行,言う,言わない,言わなかった,言います,言って,言った,言えば,言え,言おう,言える
植え替える,うえかえる,uekaeru,下一段-ア行,植え替える,植え替えない,植え替えなかった,植え替えます,植え替えて,植え替えた,植え替えれば,植え替えろ,植え替えよう,植え替えられる
植え育てる,うえそだてる,uesodateru,下一段-タ行,植え育てる,植え育てない,植え育てなかった,植え育てます,植え育てて,植え育てた,植え育てれば,植え育てろ,植え育てよう,植え育てられる
植え付ける,うえつける,uetsukeru,下一段-カ行,植え付ける,植え付けない,植え付けなかった,植え付けます,植え付けて,植え付けた,植え付ければ,植え付けろ,植え付けよう,植え付けられる
植える,うえる,ueru,下一段-ア行,植える,植えない,植えなかった,植えます,植えて,植えた,植えれば,植えろ,植えよう,植えられる
窺い知る,うかがいしる,ukagaishiru,五段-ラ行,窺い知る,窺い知らない,窺い知らなかった,窺い知ります,窺い知って,窺い知った,窺い知れば,窺い知れ,窺い知ろう,窺い知れる
伺う,うかがう,ukagau,五段-ワア行,伺う,伺わない,伺わなかった,伺います,伺って,伺った,伺えば,伺え,伺おう,伺える
窺う,うかがう,ukagau,五段-ワア行,窺う,窺わない,窺わなかった,窺います,窺って,窺った,窺えば,窺え,窺おう,窺える
浮かび上がる,うかびあがる,ukabiagaru,五段-ラ行,浮かび上がる,浮かび上がらない,浮かび上がらなかった,浮かび上がります,浮かび上がって,浮かび上がった,浮かび上がれば,浮かび上がれ,浮かび上がろう,浮かび上がれる
浮かぶ,うかぶ,ukabu,五段-バ行,浮かぶ,浮かばない,浮かばなかった,浮かびます,浮かんで,浮かんだ,浮かべば,浮かべ,浮かぼう,浮かべる
浮かべる,うかべる,ukaberu,下一段-バ行,浮かべる,浮かべない,浮かべなかった,浮かべます,浮かべて,浮かべた,浮かべれば,浮かべろ,浮かべよう,浮かべられる
受かる,うかる,ukaru,五段-ラ行,受かる,受からない,受からなかった,受かります,受かって,受かった,受かれば,受かれ,受かろう,受かれる
浮かれる,うかれる,ukareru,下一段-ラ行,浮かれる,浮かれない,浮かれなかった,浮かれます,浮かれて,浮かれた,浮かれれば,浮かれろ,浮かれよう,浮かれられる
浮き上がる,うきあがる,ukiagaru,五段-ラ行,浮き上がる,浮き上がらない,浮き上がらなかった,浮き上がります,浮き上がって,浮き上がった,浮き上がれば,浮き上がれ,浮き上がろう,浮き上がれる
浮き出る,うきでる,ukideru,下一段-ダ行,浮き出る,浮き出ない,浮き出なかった,浮き出ます,浮き出て,浮き出た,浮き出れば,浮き出ろ,浮き出よう,浮き出られる
浮く,うく,uku,五段-カ行,浮く,浮かない,浮かなかった,浮きます,浮いて,浮いた,浮けば,浮け,浮こう,浮ける
受け入れる,うけいれる,ukeireru,下一段-ラ行,受け入れる,受け入れない,受け入れなかった,受け入れます,受け入れて,受け入れた,受け入れれば,受け入れろ,受け入れよう,受け入れられる
請け負う,うけおう,ukeoo,五段-ワア行,請け負う,請け負わない,請け負わなかった,請け負います,請け負って,請け負った,請け負えば,請け負え,請け負おう,請け負える
受け継ぐ,うけつぐ,uketsugu,五段-ガ行,受け継ぐ,受け継がない,受け継がなかった,受け継ぎます,受け継いで,受け継いだ,受け継げば,受け継げ,受け継ごう,受け継げる
受け付ける,うけつける,uketsukeru,下一段-カ行,受け付ける,受け付けない,受け付けなかった,受け付けます,受け付けて,受け付けた,受け付ければ,受け付けろ,受け付けよう,受け付けられる
受け止める,うけとめる,uketomeru,下一段-マ行,受け止める,受け止めない,受け止めなかった,受け止めます,受け止めて,受け止めた,受け止めれば,受け止めろ,受け止めよう,受け止められる
