accent,kanji,yomi,english
く/さぶえ,草笛,くさぶえ,
く/さみ\,臭み,くさみ,
く/さむ\しり,草むしり,くさむしり,
く/さむら,草むら,くさむら,
く/さや\きゅう,草野球,くさやきゅう,
く/さら\す,腐らす,くさらす,
く/さり,鎖,くさり,
く/さわけ,草分け,くさわけ,
く/し\,串,くし,
く\し,駆使,くし,
く\しくも,,くしくも,
く/しざし,串刺し,くしざし,
く/しゃくしゃ,,くしゃくしゃ,
く\しゃくしゃ,,くしゃくしゃ,
く/しゃ\み,,くしゃみ,
く/しやき,串焼き,くしやき,
く\じ,九時・籤,くじ,
く/じうん,籤運,くじうん,
く/じ\く,挫く,くじく,
く/じけ\る,挫ける,くじける,
く/じびき,籤引き,くじびき,
く/じゃく,孔雀,くじゃく,
く/じゅう,苦渋・苦汁,くじゅう,
く\じょ,駆除,くじょ,
く/じょう,苦情,くじょう,
く/じら,鯨,くじら,
く\すくす,,くすくす,
く/すぐる,擽る,くすぐる,
く/すり,薬,くすり,
く/すりだい,薬代,くすりだい,
く\ず,屑・葛,くず,
く/ず\す,崩す,くずす,
く/ずれ\る,崩れる,くずれる,
く/せ\,癖,くせ,
く/せげ,癖毛,くせげ,
く/せん,苦戦,くせん,
く/そ\,糞,くそ,
く/たくた,,くたくた,
く/だ\く,砕く,くだく,
く/だけ\る,砕ける,くだける,
く/ださ\い,下さい,ください,
く/ださ\る,下さる,くださる,
く/だ\もの,果物,くだもの,
く/だらない,,くだらない,
く/だり,下り・降り,くだり,
く/だる,下る・降る,くだる,
く/ち,口,くち,
く/ちぐせ,口癖,くちぐせ,
く/ち\ぐち,口々,くちぐち,
く/ちげ\んか,口喧嘩,くちげんか,
く/ちご\たえ,口答え,くちごたえ,
く/ちさき,口先,くちさき,
く/ちだし,口出し,くちだし,
く/ちどめ,口止め,くちどめ,
く/ちばし,嘴,くちばし,
く/ちひげ,口髭,くちひげ,
く/ちびる,唇,くちびる,
く/ちぶえ,口笛,くちぶえ,
く/ちべた,口下手,くちべた,
く/ちべに,口紅,くちべに,
く/ちもと,口許,くちもと,
く\ちゃくちゃ,,くちゃくちゃ,
く/ちゃくちゃ,,くちゃくちゃ,
く/ちや\くそく,口約束,くちやくそく,
く/ちょう,口調,くちょう,
く/ちコミ,口コミ,くちコミ,
く/っき\り,,くっきり,
く/っしん,屈伸,くっしん,
く/っつ\く,くっ付く,くっつく,
く/つ\,靴,くつ,
く/つう,苦痛,くつう,
く/つ\した,靴下,くつした,
く/つじょく,屈辱,くつじょく,
く/つ\ひも,靴紐,くつひも,
く\どう,工藤,くどう,
く/ど\く,口説く,くどく,
く\どくど,,くどくど,
く/に,国,くに,
く/にじゅう,国中,くにじゅう,
く\ねくね,,くねくね,
く/ば\る,配る,くばる,
く/び,首,くび,
く/ふう,工夫,くふう,
く\べつ,区別,くべつ,
く/ぼ,久保,くぼ,
く\ぼた,久保田・窪田,くぼた,
く/ま\,熊・隅,くま,
く/まもと,熊本,くまもと,
く/まもと\けん,熊本県,くまもとけん,
く/まもと\し,熊本市,くまもとし,
く/みあい,組合,くみあい,
く/みあわせ,組み合わせ,くみあわせ,
く/みたて\る,組み立てる,くみたてる,
く\みん,区民,くみん,
く\む,組む,くむ,
く\も,雲・蜘蛛,くも,
く/もり\,曇り,くもり,
く/も\る,曇る,くもる,
く/やし\い,悔しい,くやしい,
く\よくよ,,くよくよ,
く/らい,暗い,くらい,
く\らくら,,くらくら,
く/らげ,水母,くらげ,
く/らし,暮らし,くらし,
く/ら\しき,倉敷,くらしき,
く/らしき\し,倉敷市,くらしきし,
く/らす,暮らす,くらす,
く/らべる,比べる,くらべる,
く/らやみ,暗闇,くらやみ,
く/り\,栗,くり,
く/りか\えす,繰り返す,くりかえす,
く\る,来る,くる,
く/る\う,狂う,くるう,
く\るくる,,くるくる,
く/るし\い,苦しい,くるしい,
く/るし\む,苦しむ,くるしむ,
く/るしめ\る,苦しめる,くるしめる,
く/るま,車,くるま,
く/るま\いす,車椅子,くるまいす,
く/れ,暮れ,くれ,
く/れる,,くれる,
く\ろ,黒,くろ,
く/ろ\い,黒い,くろい,
く\ろう,苦労,くろう,
く/わえ\る,加える,くわえる,
く/わし\い,詳しい,くわしい,
く/わわる,加わる,くわわる,
く/んよみ,訓読み,くんよみ,
く\んれん,訓練,くんれん,
ぐ/あい,具合,ぐあい,
ぐ\うぐう,,ぐうぐう,
ぐ/うす\う,偶数,ぐうすう,
ぐ/うぜん,偶然,ぐうぜん,
ぐ/さ\り,,ぐさり,
ぐ/しゃぐしゃ,,ぐしゃぐしゃ,
ぐ\しゃぐしゃ,,ぐしゃぐしゃ,
ぐ\ずぐず,,ぐずぐず,
ぐ/ず\る,愚図る,ぐずる,
ぐ/たいてき,具体的,ぐたいてき,
ぐ/ち,愚痴,ぐち,
ぐ\ちゃぐちゃ,,ぐちゃぐちゃ,
ぐ/ちゃぐちゃ,,ぐちゃぐちゃ,
ぐ/ち\る,愚痴る,ぐちる,
ぐ/っしょ\り,,ぐっしょり,
ぐ/っす\り,,ぐっすり,
ぐ/った\り,,ぐったり,
ぐ/っと,,ぐっと,
ぐ\つぐつ,,ぐつぐつ,
ぐ/にゃぐにゃ,,ぐにゃぐにゃ,
ぐ\にゃぐにゃ,,ぐにゃぐにゃ,
ぐ/らぐら,,ぐらぐら,
ぐ\らぐら,,ぐらぐら,
ぐ/るぐる,,ぐるぐる,
ぐ\るぐる,,ぐるぐる,
ぐ/れ\る,,ぐれる,
ぐ\ん,軍,ぐん,
ぐ/んじ\りょく,軍事力,ぐんじりょく,
ぐ/んじん,軍人,ぐんじん,
ぐ\んたい,軍隊,ぐんたい,
ぐ/んて,軍手,ぐんて,
ぐ\んま,群馬,ぐんま,
ぐ/んま\けん,群馬県,ぐんまけん,
け/,毛,け,
け/あな,毛穴,けあな,
け/いえい,経営,けいえい,
け/いえ\いしゃ,経営者,けいえいしゃ,
け/いか,経過,けいか,
け/いかい,警戒・軽快,けいかい,
け/いかく,計画,けいかく,
け/いかくてき,計画的,けいかくてき,
け/いかん,警官,けいかん,
け\いき,計器・刑期,けいき,
け/いき,景気,けいき,
け/いけん,経験,けいけん,
け/いけ\んしゃ,経験者,けいけんしゃ,
け/いけんぶ\そく,経験不足,けいけんぶそく,
け\いこ,稽古,けいこ,
け/いこう,傾向,けいこう,
け/いこうとう,蛍光灯,けいこうとう,
け/いこく,警告・渓谷,けいこく,
け/いご,敬語,けいご,
け\いご,警護,けいご,
け/いさつ,警察,けいさつ,
け/いさつ\かん,警察官,けいさつかん,
け/いさつしょ\,警察署,けいさつしょ,
け/いさん,計算,けいさん,
け\いざい,経済,けいざい,
け/いざ\いがく,経済学,けいざいがく,
け/いざいてき,経済的,けいざいてき,
け/いざ\いりょく,経済力,けいざいりょく,
け/いし\ちょう,警視庁,けいしちょう,
け/いしょう,敬称・軽症・形象,けいしょう,
け/いしょく,軽食,けいしょく,
け\いじ,刑事,けいじ,
け/いじど\うしゃ,軽自動車,けいじどうしゃ,
け/いじばん,掲示板,けいじばん,
け/いそつ,軽率,けいそつ,
け/いぞく,継続,けいぞく,
け/いたい,携帯・形態,けいたい,
け/いたいで\んわ,,けいたいでんわ,
け/いたいで\んわ,携帯電話,けいたいでんわ,
け\いだい,境内,けいだい,
け/いと,毛糸,けいと,
け/いとう,系統・傾倒,けいとう,
け\いど,軽度・経度,けいど,
け/いはく,軽薄,けいはく,
け/いは\んざい,軽犯罪,けいはんざい,
け/いば,競馬,けいば,
け/いばじょう,競馬場,けいばじょう,
け\いひ,経費,けいひ,
け/いひん,景品,けいひん,
け\いび,警備・軽微,けいび,
け/いべつ,軽蔑,けいべつ,
け\いほう,刑法,けいほう,
け/いむ\しょ,刑務所,けいむしょ,
け/いやく,契約,けいやく,
け/いやくしょ,契約書,けいやくしょ,
け\いゆ,経由,けいゆ,
け/いゆ,軽油,けいゆ,
け/いよ\うし,形容詞,けいようし,
け\いり,経理,けいり,
け/いりん,競輪,けいりん,
け/いれい,敬礼,けいれい,
け/いれき,経歴,けいれき,
け/が\,怪我,けが,
け\さ,今朝,けさ,
け\しき,景色,けしき,
け/しょ\う,化粧,けしょう,
け/しゴム,消しゴム,けしゴム,
け/す,消す,けす,
け/っこん,結婚,けっこん,
け/っこ\んしき,結婚式,けっこんしき,
け/っせき,欠席,けっせき,
け\ど,,けど,
け/むり,煙,けむり,
け/んか,喧嘩,けんか,
け/んがく,見学,けんがく,
け/んきゅう,研究,けんきゅう,
け/んこう,健康,けんこう,
け/んちく,建築,けんちく,
け/んちくか,建築家,けんちくか,
け/んちく\ぎょう,建築業,けんちくぎょう,
け/んちく\し,建築士,けんちくし,
け/んちく\ぶつ,建築物,けんちくぶつ,
け\んどう,剣道,けんどう,
け/んば\いき,券売機,けんばいき,
け\んぽう,憲法,けんぽう,
げ\い,芸・gay,げい,
げ/いしゃ,芸者,げいしゃ,
げ/いじゅつ,芸術,げいじゅつ,
げ/いじゅつか,芸術家,げいじゅつか,
げ/いにん,芸人,げいにん,
げ/いの\うかい,芸能界,げいのうかい,
げ/いの\うじん,芸能人,げいのうじん,
げ/か,外科,げか,
げ/こう,下校,げこう,
げ/たばこ,下駄箱,げたばこ,
げ/つよ\うび,月曜日,げつようび,
げ\ん,元,げん,
げ\んかん,玄関,げんかん,
げ\んき,元気,げんき,
げ/んき\ん,現金,げんきん,
げ\んご,言語,げんご,
げ/んばく,原爆,げんばく,
げ/んぱつ,原発,げんぱつ,
げ/んりょ\う,原料,げんりょう,
こ\い,濃い,こい,
こ/いし,小石,こいし,
こ/いし\い,恋しい,こいしい,
こ\いする,恋する,こいする,
こ/い\ずみ,小泉,こいずみ,
こ/い\そぎ,小急ぎ,こいそぎ,
こ/いつ,,こいつ,
こ/いぬ,子犬,こいぬ,
こ/いの\ぼり,鯉幟,こいのぼり,
こ/いびと,恋人,こいびと,
こ\う,請う・乞う・恋う,こう,
こ/うあつてき,高圧的,こうあつてき,
こ/うい\しつ,更衣室,こういしつ,
こ/ういしょう,後遺症,こういしょう,
こ/うう\りょう,降雨量,こううりょう,
こ/ううん,幸運,こううん,
こ/うえき,交易・公益,こうえき,
こ/うえん,公園・公演・講演,こうえん,
こ/うえ\んかい,後援会・講演会,こうえんかい,
こ/うおん,高温・高音,こうおん,
こ/うか,降下,こうか,
こ\うか,効果・高価・硬貨,こうか,
こ\うかい,後悔,こうかい,
こ/うかい,公開・更改,こうかい,
こ/うかく,降格,こうかく,
こ/うかてき,効果的,こうかてき,
こ/うかん,交換・好感,こうかん,
こ\うがい,郊外,こうがい,
こ/うがい,公害・口蓋,こうがい,
こ/うがく,高額,こうがく,
こ/うがく\ねん,高学年,こうがくねん,
こ/うがく\ぶ,工学部,こうがくぶ,
こ\うき,後期・好機・工期,こうき,
こ/うき\あつ,高気圧,こうきあつ,
こ/うきゅう,高級・高給・硬球,こうきゅう,
こ/うきゅ\うしゃ,高級車,こうきゅうしゃ,
こ/うきゅ\うてん,高級店,こうきゅうてん,
こ/うきゅうひん,高級品,こうきゅうひん,
こ/うきょうりょ\うきん,公共料金,こうきょうりょうきん,
こ/うきん,抗菌・公金,こうきん,
こ\うぎ,抗議・講義,こうぎ,
こ/うぎょう,興行・興業,こうぎょう,
こ\うぎょう,工業・鉱業,こうぎょう,
こ/うぎょうこ\うこう,工業高校,こうぎょうこうこう,
こ/うく\うき,航空機,こうくうき,
こ/うく\うけん,航空券,こうくうけん,
こ/うくうびん,航空便,こうくうびん,
こ/うけ\いき,好景気,こうけいき,
こ/うけ\いしゃ,後継者,こうけいしゃ,
こ/うけつ\あつ,高血圧,こうけつあつ,
こ/うけん,貢献,こうけん,
こ/うけ\んど,貢献度,こうけんど,
こ/うげき,攻撃,こうげき,
こ/うげん,高原・公言・光源,こうげん,
こ\うこう,孝行,こうこう,
こ/うこう,高校・航行・後攻,こうこう,
こ/うこ\うせい,高校生,こうこうせい,
こ/うこく,広告,こうこく,
こ/うご,口語,こうご,
こ\うご,交互,こうご,
こ/うご\うせい,光合成,こうごうせい,
こ\うさ,黄砂,こうさ,
こ/うさてん,交差点,こうさてん,
こ/うさん,公算・降参,こうさん,
こ/うざ,口座・講座,こうざ,
こ/うざんびょう,高山病,こうざんびょう,
こ\うし,講師,こうし,
こ/うし,孔子,こうし,
こ/うし\えん,甲子園,こうしえん,
こ/うしき,公式,こうしき,
こ/うし\しつ,講師室,こうししつ,
こ\うしゃ,後者・校舎,こうしゃ,
こ/うしゅう,公衆・講習・口臭,こうしゅう,
こ/うしゅうべ\んじょ,公衆便所,こうしゅうべんじょ,
こ/うしゅうよ\くじょう,公衆浴場,こうしゅうよくじょう,
こ/うしょう,交渉・考証,こうしょう,
こ/うしん,更新・行進,こうしん,
こ/うし\んえつ,甲信越,こうしんえつ,
こ/うしんえつち\ほう,甲信越地方,こうしんえつちほう,
こ/うし\んこく,後進国,こうしんこく,
こ\うじ,工事,こうじ,
こ/うじちゅう,工事中,こうじちゅう,
こ/うじつ,口実,こうじつ,
こ\うじょ,控除,こうじょ,
こ/うじょ\う,工場,こうじょう,
こ/うすい,香水・硬水,こうすい,
こ/うすいか\くりつ,降水確率,こうすいかくりつ,
こ/うす\いりょう,降水量,こうすいりょう,
こ/うずい,洪水,こうずい,
こ/うせい,公正・構成・更生,こうせい,
こ\うせい,後世,こうせい,
こ/うせ\いねん,好青年,こうせいねん,
こ/うせいね\んきん,厚生年金,こうせいねんきん,
こ/うせ\いのう,高性能,こうせいのう,
こ/うぜん,公然,こうぜん,
こ\うそ,酵素・控訴,こうそ,
こ/うそうビ\ル,高層ビル,こうそうビル,
こ/うそく,高速・拘束・校則,こうそく,
こ/うそくど\うろ,高速道路,こうそくどうろ,
こ/うそつ,高卒,こうそつ,
こ/うぞ\うぶつ,構造物,こうぞうぶつ,
こ/うたい,交替・後退,こうたい,
こ/うた\いし,皇太子,こうたいし,
こ\うち,高知,こうち,
こ/うち\けん,高知県,こうちけん,
こ/うち\し,高知市,こうちし,
こ/うちゃ,紅茶,こうちゃ,
こ/うちょう,好調・校長,こうちょう,
こ/うちょうせんせ\い,校長先生,こうちょうせんせい,
こ/うつう,交通,こうつう,
こ/うつうい\はん,交通違反,こうつういはん,
こ/うつうじ\こ,交通事故,こうつうじこ,
こ/うつ\うひ,交通費,こうつうひ,
こ/うてい,工程・皇帝・校庭,こうてい,
こ/うとう,高等・高騰・口頭,こうとう,
こ/うとうが\っこう,高等学校,こうとうがっこう,
こ\うど,高度・硬度,こうど,
こ/うどう,行動・公道・講堂,こうどう,
こ\うない,口内・校内・構内,こうない,
こ/うないえん,口内炎,こうないえん,
こ/うにゅう,購入,こうにゅう,
こ/うにん,公認・後任,こうにん,
こ/うねつ,高熱,こうねつ,
こ/うねつ\ひ,光熱費,こうねつひ,
こ\うの,河野,こうの,
こ/うはい,後輩・荒廃,こうはい,
こ\うはく,紅白,こうはく,
こ\うはくう/たが\っせん,紅白歌合戦,こうはくうたがっせん,
こ/うば\,工場,こうば,
こ/うばい,購買・勾配,こうばい,
こ/うばん,交番,こうばん,
こ\うひ,工費・公費,こうひ,
こ/うひょう,好評・公表,こうひょう,
こ\うび,交尾,こうび,
こ/うふ,甲府,こうふ,
こ/うふく,降伏・幸福,こうふく,
こ/うふ\し,甲府市,こうふし,
こ/うふん,興奮,こうふん,
こ\うぶ,後部,こうぶ,
こ\うぶつ,好物,こうぶつ,
こ/うへい,公平,こうへい,
こ/うへん,後編,こうへん,
こ\うべ,神戸,こうべ,
こ/うべ\し,神戸市,こうべし,
こ\うほ,候補,こうほ,
こ/うほう,後方,こうほう,
こ\うほう,広報,こうほう,
こ/うぼう,工房・攻防,こうぼう,
こ/うみ\んかん,公民館,こうみんかん,
こ/うむ\いん,公務員,こうむいん,
こ\うもと,河本,こうもと,
こ\うもり,蝙蝠,こうもり,
こ/うもん,校門・後門・肛門,こうもん,
こ/うやく,公約・膏薬,こうやく,
こ/うゆう,交友・交遊・校友,こうゆう,
こ/うよう,紅葉,こうよう,
こ/うら,甲羅,こうら,
こ/うりつ,効率・公立,こうりつ,
こ/うりゃく,攻略,こうりゃく,
こ/うりゅう,交流・拘留,こうりゅう,
こ\うりょ,考慮,こうりょ,
こ\うりょく,効力・抗力,こうりょく,
こ/うれ\いしゃ,高齢者,こうれいしゃ,
こ\え,声,こえ,
こ/えが\わり,声変り,こえがわり,
こ/えだ,小枝,こえだ,
こ/えび,小海老,こえび,
こ/え\る,肥える,こえる,
こ/える,越える,こえる,
こ/おり,氷,こおり,
こ/おる,凍る・氷る,こおる,
こ/きゃく,顧客,こきゃく,
こ/く\がい,国外,こくがい,
こ/く\ご,国語,こくご,
こ/くさい,国際,こくさい,
こ/くさいせん,国際線,こくさいせん,
こ/くどう,国道,こくどう,
こ/く\ない,国内,こくない,
こ/くないせん,国内線,こくないせん,
こ/くばん,黒板,こくばん,
こ\くひ,国費,こくひ,
こ/くれん,国連,こくれん,
こ/こ,,ここ,
こ/こ\ろ,心,こころ,
こ/ころがけ,心がけ,こころがけ,
こ/しょう,故障,こしょう,
こ/じま,小島,こじま,
こ/ぜに,小銭,こぜに,
こ/た\え,答え,こたえ,
こ/たえ\る,答える,こたえる,
こ/たつ,炬燵,こたつ,
こ/ちら,,こちら,
こ/ちらこ\そ,,こちらこそ,
こ\っかい,黒海,こっかい,
こ/っかい,国会,こっかい,
こ/っかいぎじどう,国会議事堂,こっかいぎじどう,
こ/っかく,骨格,こっかく,
こ/っせつ,骨折,こっせつ,
こ/っち\,,こっち,
こ/てん,古典・個展,こてん,
こ/と\,事,こと,
こ/とし,今年,ことし,
こ/とば\,言葉,ことば,
こ/とわざ,諺,ことわざ,
こ/ども,子供,こども,
こ/どもさん,子供さん,こどもさん,
こ/ども\たち,子供達,こどもたち,
こ/どもて\あて,子ども手当,こどもてあて,
こ/ね\こ,子猫,こねこ,
こ/の,,この,
こ/のあいだ,この間,このあいだ,
こ/のごろ,この頃,このごろ,
こ/ばやし,小林,こばやし,
こ/まか\い,細かい,こまかい,
こ/まつ,小松,こまつ,
こ/ま\る,困る,こまる,
こ\む,込む,こむ,
こ/め\,米,こめ,
こ/もの\いれ,小物入れ,こものいれ,
こ\やま,小山,こやま,
こ/れ,,これ,
こ/れから,,これから,
こ/れ\ら,,これら,
こ/わ\い,怖い,こわい,
こ/わ\す,壊す,こわす,
こ/われ\る,壊れる,こわれる,
こ\ん,紺,こん,
こ/んげつ,今月,こんげつ,
こ/んしゅう,今週,こんしゅう,
こ\んど,今度,こんど,
こ/んどう,近藤,こんどう,
こ/んにちは\,今日は,こんにちは,
こ\んばん,今晩,こんばん,
こ/んばんは\,今晩は,こんばんは,
こ\んや,今夜,こんや,
こ/んやく,婚約,こんやく,
ご\,碁,ご,
ご/あ\いさつ,ご挨拶,ごあいさつ,
ご\い,語彙,ごい,
ご/うい,合意,ごうい,
ご/ういん,強引,ごういん,
ご\うう,豪雨,ごうう,
ご\うか,豪華,ごうか,
ご/うかい,豪快,ごうかい,
ご/うかく,合格,ごうかく,
ご/うかく\しゃ,合格者,ごうかくしゃ,
ご/うかく\てん,合格点,ごうかくてん,
ご/うかく\りつ,合格率,ごうかくりつ,
ご/うかん,強姦,ごうかん,
ご/うきゅう,号泣・剛球,ごうきゅう,
ご/うきん,合金,ごうきん,
ご/うけい,合計,ごうけい,
ご/うじょう,強情,ごうじょう,
ご\うせい,豪勢,ごうせい,
ご/うせい,合成,ごうせい,
ご/うてい,豪邸,ごうてい,
ご/うとう,強盗,ごうとう,
ご\うひ,合否,ごうひ,
ご/うほう,合法,ごうほう,
ご/うほうてき,合法的,ごうほうてき,
ご/うもう,剛毛,ごうもう,
ご/うもん,拷問,ごうもん,
ご/うりてき,合理的,ごうりてき,
ご/うりゅう,合流,ごうりゅう,
ご/うコン,合コン,ごうコン,
ご/え\ん,ご縁,ごえん,
ご/きょ\うだい,ご兄弟,ごきょうだい,
ご/くひ,極秘,ごくひ,
ご/く\ろうさま,ご苦労様,ごくろうさま,
ご\ご,午後,ごご,
ご/ざ\る,御座る,ござる,
ご/しゅ\じん,ご主人,ごしゅじん,
ご\ぜん,午前,ごぜん,
ご/ぞ\んじ,ご存知,ごぞんじ,
ご/ちそうさまで\した,ご馳走様でした,ごちそうさまでした,
ご/とう,後藤,ごとう,
ご\はん,ご飯,ごはん,
ご/み\,塵,ごみ,
ご/みばこ,ごみ箱,ごみばこ,
ご/みぶ\くろ,ごみ袋,ごみぶくろ,
ご/めん,,ごめん,
ご/らんにな\る,ご覧になる,ごらんになる,
ご/りおし,ごり押し,ごりおし,
ご/りょ\うしん,ご両親,ごりょうしん,
ご\ろごろ,,ごろごろ,
さ\あ,,さあ,
さ/いあく,最悪,さいあく,
さ/いか\い,最下位,さいかい,
さ/いかい,再会・再開,さいかい,
さ/いがい,災害,さいがい,
さ/いきょう,最強,さいきょう,
さ/いきん,最近,さいきん,
さ/いこう,最高,さいこう,
さ/いこん,再婚,さいこん,
さ\いご,最後,さいご,
さ/いしょ,最初,さいしょ,
さ/いしょう,最小,さいしょう,
さ/いじょう,最上,さいじょう,
さ/いせい,再生,さいせい,
さ/いせ\いし,再生紙,さいせいし,
さ/いた,最多,さいた,
さ\いたま,埼玉,さいたま,
さ/いたま\けん,埼玉県,さいたまけん,
さ/いたま\し,埼玉市,さいたまし,
さ/いたん,最短,さいたん,
さ/いだい,最大,さいだい,
さ\いちゅう,最中,さいちゅう,
さ/いとう,斎藤,さいとう,
さ/いな\ん,災難,さいなん,
さ/いね\んしょう,最年少,さいねんしょう,
さ/いね\んちょう,最年長,さいねんちょう,
さ/いのう,才能,さいのう,
さ/いはつ,再発,さいはつ,
さ/いばい,栽培,さいばい,
さ\いばん,裁判,さいばん,
さ/いふ,財布,さいふ,
さ/いほ\うそう,再放送,さいほうそう,
さ/いよう,採用,さいよう,
さ/いりょう,最良,さいりょう,
さ/か\,坂,さか,
さ\かい,酒井・坂井・堺,さかい,
さ\かい,堺,さかい,
さ/か\い,境,さかい,
さ/かい\し,堺市,さかいし,
さ/かさ,逆さ,さかさ,
さ/かだち,逆立ち,さかだち,
さ/かな,魚,さかな,
さ/か\みち,坂道,さかみち,
さ/かもと,坂本・酒本,さかもと,
さ/から\う,逆らう,さからう,
さ\が,佐賀,さが,
さ/が\けん,佐賀県,さがけん,
さ/が\し,佐賀市,さがし,
さ/がしもの,探し物,さがしもの,
さ/がす,探す,さがす,
さ/がみ\はら,相模原,さがみはら,
さ/がみはら\し,相模原市,さがみはらし,
さ/が\る,下がる,さがる,
さ/き,先,さき,
さ/き\ごろ,先頃,さきごろ,
さ/きに,先に,さきに,
さ/きば\らい,先払い,さきばらい,
さ/きほど,先程,さきほど,
さ\ぎ,詐欺,さぎ,
さ/ぎょ\ういん,作業員,さぎょういん,
さ/ぎょうじょ,作業所,さぎょうじょ,
さ/ぎょうじょう,作業場,さぎょうじょう,
さ/く,咲く,さく,
さ\く,裂く・割く,さく,
さ\くさく,,さくさく,
さ\くしゃ,作者,さくしゃ,
さ/く\じつ,昨日,さくじつ,
さ\くじょ,削除,さくじょ,
さ/くせい,作成,さくせい,
さ/くねん,昨年,さくねん,
さ/くね\んど,昨年度,さくねんど,
さ/く\ばん,昨晩,さくばん,
さ/くひん,作品,さくひん,
さ/くぶん,作文,さくぶん,
さ\くま,佐久間,さくま,
さ/く\や,昨夜,さくや,
さ/くら,桜,さくら,
さ/く\らい,桜井,さくらい,
さ/くらんぼ,,さくらんぼ,
さ/け,酒,さけ,
さ/けくさ\い,酒臭い,さけくさい,
さ/けずき,酒好き,さけずき,
さ/け\ぶ,叫ぶ,さけぶ,
さ/げ\る,下げる,さげる,
さ/こつ,鎖骨,さこつ,
さ\さい,些細,ささい,
さ/さえ\,支え,ささえ,
さ/さえる,支える,ささえる,
さ/さき,佐々木,ささき,
さ/さ\やか,,ささやか,
さ/さや\く,囁く,ささやく,
さ/さ\る,刺さる,ささる,
さ\しず,指図,さしず,
さ/しみ\,刺身,さしみ,
さ\す,差す・刺す・指す,さす,
さ/せつ,左折,させつ,
さ/そう,誘う,さそう,
さ/っか,作家,さっか,
さ\っき,,さっき,
さ/っきょく,作曲,さっきょく,
さ\っさ,佐々,さっさ,
さ/っちゅ\うざい,殺虫剤,さっちゅうざい,
さ\っと,,さっと,
さ/っぱ\り,,さっぱり,
さ/っぽろ,札幌,さっぽろ,
さ/っぽろ\し,札幌市,さっぽろし,
さ/つじん,殺人,さつじん,
さ/つじ\んき,殺人鬼,さつじんき,
さ/つじ\んはん,殺人犯,さつじんはん,
さ/と\う,砂糖,さとう,
さ\とう,佐藤,さとう,
さ/とが\えり,里帰り,さとがえり,
さ\どう,茶道,さどう,
さ/の,佐野,さの,
さ/びし\い,寂しい,さびしい,
さ/び\る,錆びる,さびる,
さ\べつ,差別,さべつ,
さ/ぼ\る,,さぼる,
さ/ま\す,覚ます・冷ます,さます,
さ/またげ\る,妨げる,さまたげる,
さ/む\い,寒い,さむい,
さ/むけ\,寒気,さむけ,
さ/むらい,侍,さむらい,
さ/め,鮫,さめ,
さ/め\る,覚める・冷める,さめる,
さ\ゆう,左右,さゆう,
さ/ような\ら,,さようなら,
さら,さら,さら,
さ/らあ\らい,皿洗い,さらあらい,
さ/らいげつ,再来月,さらいげつ,
さ/らいしゅう,再来週,さらいしゅう,
さ/らいねん,再来年,さらいねん,
さ\らさら,,さらさら,
さ/らさら,,さらさら,
さ\らに,更に,さらに,
さ\る,去る・猿,さる,
さ/わがし\い,騒がしい,さわがしい,
さ\わぎ,騒ぎ,さわぎ,
さ/わ\ぐ,騒ぐ,さわぐ,
さ/わ\やか,爽やか,さわやか,
さ/わる,触る,さわる,
さ/んか,参加,さんか,
さ/んぎょう,産業,さんぎょう,
さ/んこう,参考,さんこう,
さ\んご,珊瑚,さんご,
さ/んす\う,算数,さんすう,
さ/んせい,賛成・酸性,さんせい,
さ/んせ\いけん,参政権,さんせいけん,
さ\んそ,酸素,さんそ,
さ\んち,産地・山地,さんち,
さ\んぴ,賛否,さんぴ,
さ/んぽ,散歩,さんぽ,
さ/んみゃく,山脈,さんみゃく,
ざ\あざあ,,ざあざあ,
ざ/いこ,在庫,ざいこ,
ざ\いさん,財産,ざいさん,
ざ/いせい,財政,ざいせい,
ざ/いばつ,財閥,ざいばつ,
ざ/いりょ\う,材料,ざいりょう,
ざ/せき,座席,ざせき,
ざ/っし,雑誌,ざっし,
ざ/っそう,雑草,ざっそう,
ざ/っと,,ざっと,
ざ/つおん,雑音,ざつおん,
ざ/ぶ\とん,座布団,ざぶとん,
ざ/やく,座薬,ざやく,
ざ/ゆうのめ\い,座右の銘,ざゆうのめい,
ざ\らざら,,ざらざら,
ざ/らざら,,ざらざら,
ざ\わざわ,,ざわざわ,
ざ/んぎょう,残業,ざんぎょう,
ざ\んしょ,残暑,ざんしょ,
ざ/んしん,斬新,ざんしん,
ざ/んね\ん,残念,ざんねん,
し/,詩,し,
し\,死・市・師,し,
し/あい,試合,しあい,
し/あが\る,仕上がる,しあがる,
し/あげ\る,仕上げる,しあげる,
し/あさ\って,明々後日,しあさって,
し/あつ,指圧,しあつ,
し/あわせ,幸せ,しあわせ,
し\いたけ,椎茸,しいたけ,
し/えい,市営・私営,しえい,
し\えん,支援,しえん,
し/お\,塩,しお,
し/お\あじ,塩味,しおあじ,
し/お\かぜ,潮風,しおかぜ,
し/おから\い,塩辛い,しおからい,
し/おくり,仕送り,しおくり,
し/おこ\しょう,塩胡椒,しおこしょう,
し/おざ\かな,塩魚,しおざかな,
し\おた,塩田,しおた,
し/おどき,潮時,しおどき,
し/おひ\がり,潮干狩り,しおひがり,
し/お\みず,塩水,しおみず,
し/おやき,塩焼き,しおやき,
し/おり,枝折,しおり,
し/おれる,萎れる,しおれる,
し/か,鹿,しか,
